營運日,星期,總 運 量 (單位：人次)
104/2/1, 日 ,"1,674,182"
104/2/2, 一 ,"1,964,993"
104/2/3, 二 ,"2,043,308"
104/2/4, 三 ,"2,037,181"
104/2/5, 四 ,"2,070,304"
104/2/6, 五 ,"2,217,979"
104/2/7, 六 ,"1,971,770"
104/2/8, 日 ,"1,677,919"
104/2/9, 一 ,"2,023,553"
104/2/10, 二 ,"2,152,075"
104/2/11, 三 ,"2,174,660"
104/2/12, 四 ,"2,191,011"
104/2/13, 五 ,"2,310,343"
104/2/14, 六 ,"1,972,064"
104/2/15, 日 ,"1,636,321"
104/2/16, 一 ,"2,007,257"
104/2/17, 二 ,"1,761,184"
104/2/18, 三 ,"751,526"
104/2/19, 四 ,"1,342,552"
104/2/20, 五 ,"1,356,261"
104/2/21, 六 ,"1,678,593"
104/2/22, 日 ,"1,653,840"
104/2/23, 一 ,"1,578,871"
104/2/24, 二 ,"1,980,871"
104/2/25, 三 ,"2,037,969"
104/2/26, 四 ,"2,152,779"
104/2/27, 五 ,"2,031,991"
104/2/28, 六 ,"2,081,276"
